Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Delay,Discount Binned,Discounted Revenue,Profit Margin,Order Month,Order Quarter,Order DayOfWeek,Order Year,Is Holiday Week
First Class,Corporate,Chicago,Illinois,60610,Central,Office Supplies,Appliances,58.464,9,0.8,-146.16,3,41-100%,11.6928,-2.5,July,3,Sunday,2017,No
Standard Class,Corporate,Hillsboro,Oregon,97123,West,Office Supplies,Binders,4.158,7,0.7,-3.465,4,41-100%,1.2474,-0.833333333,November,4,Friday,2017,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,79.36,5,0.2,9.92,6,11-20%,63.488,0.125,May,2,Monday,2016,No
Standard Class,Consumer,San Antonio,Texas,78207,Central,Technology,Machines,287.91,3,0.4,33.5895,5,31-40%,172.746,0.116666667,March,1,Thursday,2016,No
Second Class,Consumer,Stockton,California,95207,West,Technology,Phones,95.84,4,0.2,34.742,2,11-20%,76.672,0.3625,December,4,Sunday,2017,No
Second Class,Corporate,Decatur,Illinois,62521,Central,Office Supplies,Storage,24.816,2,0.2,1.8612,4,11-20%,19.8528,0.075,December,4,Friday,2014,No
Same Day,Consumer,Redlands,California,92374,West,Furniture,Bookcases,425.833,1,0.15,20.0392,0,11-20%,361.95805,0.047058824,October,4,Saturday,2015,No
Second Class,Consumer,Seattle,Washington,98115,West,Furniture,Tables,515.88,6,0.0,113.4936,4,No Discount,515.88,0.22,June,2,Tuesday,2014,No
Second Class,Consumer,Pleasant Grove,Utah,84062,West,Office Supplies,Storage,158.9,5,0.0,7.945,5,No Discount,158.9,0.05,August,3,Monday,2014,No
Standard Class,Consumer,Camarillo,California,93010,West,Office Supplies,Labels,14.73,3,0.0,7.2177,4,No Discount,14.73,0.49,October,4,Sunday,2017,No
First Class,Consumer,San Francisco,California,94110,West,Office Supplies,Appliances,45.28,4,0.0,15.3952,2,No Discount,45.28,0.34,November,4,Saturday,2015,No
Second Class,Corporate,New York City,New York,10011,East,Office Supplies,Binders,107.424,9,0.2,33.57,5,11-20%,85.9392,0.3125,August,3,Friday,2017,No
Same Day,Consumer,New York City,New York,10035,East,Technology,Machines,1349.85,3,0.0,364.4595,0,No Discount,1349.85,0.27,June,2,Saturday,2016,No
First Class,Consumer,Decatur,Illinois,62521,Central,Office Supplies,Storage,132.696,3,0.2,9.9522,3,11-20%,106.1568,0.075,June,2,Tuesday,2014,No
Second Class,Consumer,Carrollton,Texas,75007,Central,Furniture,Furnishings,15.992,2,0.6,-13.993,2,41-100%,6.3968,-0.875,November,4,Sunday,2017,No
Standard Class,Home Office,Houston,Texas,77041,Central,Office Supplies,Paper,20.736,4,0.2,7.2576,6,11-20%,16.5888,0.35,April,2,Saturday,2017,No
Standard Class,Home Office,Eagan,Minnesota,55122,Central,Office Supplies,Labels,3.75,1,0.0,1.8,6,No Discount,3.75,0.48,August,3,Monday,2015,No
Standard Class,Corporate,San Jose,California,95123,West,Furniture,Furnishings,14.52,3,0.0,5.6628,5,No Discount,14.52,0.39,December,4,Friday,2016,No
Standard Class,Consumer,Chicago,Illinois,60610,Central,Technology,Accessories,68.112,3,0.2,17.8794,6,11-20%,54.4896,0.2625,November,4,Tuesday,2016,No
Standard Class,Consumer,Gilbert,Arizona,85234,West,Office Supplies,Storage,82.368,2,0.2,-19.5624,5,11-20%,65.8944,-0.2375,June,2,Monday,2015,No
Standard Class,Home Office,Houston,Texas,77036,Central,Office Supplies,Labels,23.68,2,0.2,8.88,6,11-20%,18.944,0.375,November,4,Sunday,2014,No
First Class,Consumer,Garden City,Kansas,67846,Central,Office Supplies,Paper,9.54,2,0.0,4.293,3,No Discount,9.54,0.45,February,1,Sunday,2015,No
Standard Class,Home Office,Pasadena,Texas,77506,Central,Office Supplies,Paper,19.648,2,0.2,6.6312,4,11-20%,15.7184,0.3375,November,4,Friday,2016,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,10.048,4,0.2,3.14,4,11-20%,8.0384,0.3125,October,4,Saturday,2014,No
Standard Class,Corporate,Hattiesburg,Mississippi,39401,South,Technology,Accessories,239.7,6,0.0,105.468,6,No Discount,239.7,0.44,July,3,Friday,2015,No
Standard Class,Corporate,Seattle,Washington,98103,West,Office Supplies,Paper,47.9,1,0.0,22.992,7,No Discount,47.9,0.48,December,4,Friday,2016,No
Standard Class,Corporate,Chicago,Illinois,60610,Central,Technology,Phones,239.976,3,0.2,26.9973,4,11-20%,191.9808,0.1125,November,4,Monday,2015,No
Standard Class,Consumer,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,0.32,-14.4588,6,31-40%,222.858304,-0.044117647,November,4,Friday,2017,No
Standard Class,Corporate,Memphis,Tennessee,38109,South,Office Supplies,Envelopes,55.936,8,0.2,18.8784,7,11-20%,44.7488,0.3375,December,4,Friday,2015,No
Standard Class,Consumer,Belleville,New Jersey,7109,East,Office Supplies,Paper,143.7,3,0.0,68.976,5,No Discount,143.7,0.48,October,4,Friday,2017,No
Second Class,Home Office,Detroit,Michigan,48227,Central,Technology,Phones,299.9,2,0.0,74.975,2,No Discount,299.9,0.25,October,4,Friday,2015,No
First Class,Home Office,Hialeah,Florida,33012,South,Office Supplies,Storage,61.68,5,0.2,5.397,1,11-20%,49.344,0.0875,September,3,Friday,2017,No
Standard Class,Home Office,Chicago,Illinois,60623,Central,Office Supplies,Binders,13.456,1,0.8,-23.548,4,41-100%,2.6912,-1.75,October,4,Saturday,2017,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Supplies,9.184,2,0.2,1.148,5,11-20%,7.3472,0.125,July,3,Tuesday,2017,No
Standard Class,Corporate,San Francisco,California,94109,West,Office Supplies,Paper,33.4,5,0.0,16.032,4,No Discount,33.4,0.48,October,4,Thursday,2015,No
Standard Class,Consumer,Richmond,Indiana,47374,Central,Furniture,Furnishings,17.31,3,0.0,5.193,6,No Discount,17.31,0.3,December,4,Thursday,2016,No
Standard Class,Home Office,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,32.06,2,0.0,15.3888,6,No Discount,32.06,0.48,September,3,Sunday,2014,No
Standard Class,Corporate,New York City,New York,10011,East,Office Supplies,Art,114.95,5,0.0,32.186,4,No Discount,114.95,0.28,October,4,Sunday,2016,No
First Class,Corporate,Baltimore,Maryland,21215,East,Office Supplies,Art,14.7,5,0.0,6.615,3,No Discount,14.7,0.45,May,2,Sunday,2017,No
Standard Class,Consumer,Jonesboro,Arkansas,72401,South,Furniture,Chairs,1067.94,3,0.0,224.2674,6,No Discount,1067.94,0.21,January,1,Monday,2014,No
Same Day,Consumer,San Francisco,California,94122,West,Technology,Copiers,2799.96,5,0.2,944.9865,0,11-20%,2239.968,0.3375,September,3,Sunday,2016,No
Standard Class,Corporate,Los Angeles,California,90004,West,Office Supplies,Appliances,7.9,2,0.0,2.054,5,No Discount,7.9,0.26,December,4,Monday,2016,No
Standard Class,Consumer,San Francisco,California,94122,West,Technology,Phones,806.336,8,0.2,50.396,4,11-20%,645.0688,0.0625,August,3,Tuesday,2014,No
Standard Class,Home Office,Chesapeake,Virginia,23320,South,Furniture,Chairs,1139.92,4,0.0,284.98,5,No Discount,1139.92,0.25,March,1,Friday,2014,No
Standard Class,Consumer,Murray,Kentucky,42071,South,Office Supplies,Appliances,72.8,5,0.0,19.656,5,No Discount,72.8,0.27,March,1,Friday,2017,No
Standard Class,Consumer,Newark,Delaware,19711,East,Office Supplies,Art,155.94,6,0.0,45.2226,4,No Discount,155.94,0.29,November,4,Thursday,2017,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,8.856,3,0.2,2.8782,4,11-20%,7.0848,0.325,November,4,Thursday,2017,No
Standard Class,Home Office,Jackson,Michigan,49201,Central,Office Supplies,Paper,18.54,2,0.0,8.7138,4,No Discount,18.54,0.47,December,4,Tuesday,2015,No
Same Day,Consumer,Chicago,Illinois,60610,Central,Furniture,Furnishings,17.496,9,0.6,-7.4358,0,41-100%,6.9984,-0.425,November,4,Friday,2015,No
Second Class,Consumer,Georgetown,Kentucky,40324,South,Office Supplies,Storage,584.82,9,0.0,70.1784,2,No Discount,584.82,0.12,December,4,Monday,2016,No
Second Class,Consumer,San Angelo,Texas,76903,Central,Furniture,Chairs,248.43,5,0.3,-17.745,2,21-30%,173.901,-0.071428571,December,4,Thursday,2016,No
Standard Class,Home Office,Yonkers,New York,10701,East,Technology,Machines,52.44,4,0.0,24.1224,5,No Discount,52.44,0.46,November,4,Thursday,2017,No
Standard Class,Home Office,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0.0,12.4416,5,No Discount,25.92,0.48,August,3,Friday,2017,No
First Class,Consumer,San Diego,California,92105,West,Office Supplies,Binders,24.448,2,0.2,8.8624,3,11-20%,19.5584,0.3625,December,4,Saturday,2015,No
Standard Class,Consumer,Springfield,Oregon,97477,West,Office Supplies,Paper,148.704,6,0.2,46.47,5,11-20%,118.9632,0.3125,September,3,Wednesday,2014,No
Standard Class,Corporate,Seattle,Washington,98103,West,Office Supplies,Binders,35.352,9,0.2,12.8151,4,11-20%,28.2816,0.3625,April,2,Saturday,2016,No
Standard Class,Home Office,Miami,Florida,33180,South,Office Supplies,Supplies,5.552,2,0.2,-1.041,4,11-20%,4.4416,-0.1875,August,3,Tuesday,2014,No
Standard Class,Corporate,Denver,Colorado,80219,West,Technology,Phones,49.616,2,0.2,4.9616,4,11-20%,39.6928,0.1,December,4,Saturday,2017,No
Standard Class,Corporate,Milwaukee,Wisconsin,53209,Central,Technology,Phones,12.99,1,0.0,0.2598,6,No Discount,12.99,0.02,April,2,Friday,2016,No
Same Day,Corporate,San Francisco,California,94122,West,Furniture,Chairs,700.152,3,0.2,78.7671,0,11-20%,560.1216,0.1125,July,3,Thursday,2015,No
Standard Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Binders,27.264,2,0.2,8.8608,6,11-20%,21.8112,0.325,October,4,Friday,2016,No
Standard Class,Corporate,Houston,Texas,77095,Central,Office Supplies,Storage,64.784,1,0.2,-14.5764,6,11-20%,51.8272,-0.225,November,4,Thursday,2015,No
Standard Class,Corporate,San Francisco,California,94109,West,Furniture,Tables,300.904,1,0.2,11.2839,5,11-20%,240.7232,0.0375,May,2,Thursday,2017,No
First Class,Corporate,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2,No Discount,17.46,0.47,March,1,Friday,2016,No
Second Class,Corporate,San Marcos,Texas,78666,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,2,11-20%,8.2944,0.35,May,2,Tuesday,2014,No
Second Class,Consumer,Evanston,Illinois,60201,Central,Technology,Phones,11.992,1,0.2,0.8994,2,11-20%,9.5936,0.075,March,1,Sunday,2016,No
Standard Class,Home Office,San Diego,California,92037,West,Furniture,Chairs,2676.672,9,0.2,267.6672,5,11-20%,2141.3376,0.1,December,4,Tuesday,2015,No
Second Class,Consumer,Seattle,Washington,98115,West,Office Supplies,Paper,12.96,2,0.0,6.2208,2,No Discount,12.96,0.48,July,3,Saturday,2015,No
Standard Class,Consumer,Newark,Delaware,19711,East,Office Supplies,Binders,128.4,3,0.0,62.916,4,No Discount,128.4,0.49,November,4,Sunday,2016,No
Standard Class,Corporate,Seattle,Washington,98103,West,Office Supplies,Supplies,64.4,5,0.0,1.932,5,No Discount,64.4,0.03,May,2,Sunday,2017,No
Standard Class,Consumer,Jackson,Mississippi,39212,South,Technology,Phones,113.73,3,0.0,32.9817,5,No Discount,113.73,0.29,May,2,Saturday,2014,No
Second Class,Corporate,Columbia,South Carolina,29203,South,Office Supplies,Envelopes,10.2,5,0.0,4.794,4,No Discount,10.2,0.47,July,3,Saturday,2016,No
First Class,Home Office,Salem,Oregon,97301,West,Technology,Phones,28.68,3,0.2,-7.17,3,11-20%,22.944,-0.25,December,4,Sunday,2016,No
Standard Class,Home Office,Tampa,Florida,33614,South,Office Supplies,Storage,432.456,3,0.2,32.4342,4,11-20%,345.9648,0.075,February,1,Sunday,2016,No
Same Day,Home Office,Marietta,Georgia,30062,South,Technology,Phones,200.97,3,0.0,50.2425,0,No Discount,200.97,0.25,April,2,Monday,2014,No
Standard Class,Consumer,Westminster,California,92683,West,Office Supplies,Binders,4.448,2,0.2,1.4456,4,11-20%,3.5584,0.325,July,3,Friday,2017,No
Standard Class,Corporate,Newark,Delaware,19711,East,Office Supplies,Binders,7.92,4,0.0,3.564,5,No Discount,7.92,0.45,October,4,Friday,2016,No
First Class,Corporate,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744,2,No Discount,13.28,0.48,August,3,Sunday,2014,No
Standard Class,Consumer,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,5.67,3,0.0,0.1134,6,No Discount,5.67,0.02,January,1,Tuesday,2017,No
Standard Class,Consumer,Monroe,North Carolina,28110,South,Technology,Accessories,35.168,4,0.2,8.3524,4,11-20%,28.1344,0.2375,September,3,Thursday,2016,No
Standard Class,Corporate,Los Angeles,California,90004,West,Furniture,Chairs,279.456,6,0.2,20.9592,6,11-20%,223.5648,0.075,May,2,Tuesday,2014,No
Standard Class,Corporate,Springfield,Virginia,22153,South,Office Supplies,Storage,67.9,5,0.0,0.679,5,No Discount,67.9,0.01,September,3,Monday,2016,No
First Class,Consumer,Woodstock,Georgia,30188,South,Technology,Accessories,272.61,13,0.0,98.1396,1,No Discount,272.61,0.36,August,3,Tuesday,2014,No
Standard Class,Consumer,Minneapolis,Minnesota,55407,Central,Office Supplies,Appliances,90.64,8,0.0,38.9752,4,No Discount,90.64,0.43,February,1,Monday,2017,No
First Class,Consumer,Concord,New Hampshire,3301,East,Furniture,Furnishings,102.3,1,0.0,26.598,1,No Discount,102.3,0.26,July,3,Monday,2017,No
Same Day,Consumer,Louisville,Kentucky,40214,South,Office Supplies,Fasteners,10.74,3,0.0,5.2626,0,No Discount,10.74,0.49,November,4,Friday,2016,No
First Class,Consumer,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,8.448,2,0.2,2.64,3,11-20%,6.7584,0.3125,November,4,Tuesday,2017,No
Standard Class,Home Office,Sterling Heights,Michigan,48310,Central,Office Supplies,Binders,19.0,5,0.0,8.93,5,No Discount,19.0,0.47,July,3,Sunday,2015,No
Standard Class,Home Office,Hollywood,Florida,33021,South,Office Supplies,Binders,15.57,3,0.7,-11.418,5,41-100%,4.671,-0.733333333,September,3,Sunday,2017,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Paper,8.56,2,0.0,3.852,5,No Discount,8.56,0.45,September,3,Thursday,2017,No
Standard Class,Corporate,Noblesville,Indiana,46060,Central,Furniture,Tables,2678.94,6,0.0,241.1046,6,No Discount,2678.94,0.09,November,4,Friday,2016,No
First Class,Consumer,Columbus,Indiana,47201,Central,Technology,Accessories,99.39,3,0.0,40.7499,3,No Discount,99.39,0.41,December,4,Tuesday,2017,No
Standard Class,Home Office,Franklin,Massachusetts,2038,East,Furniture,Chairs,60.74,1,0.0,15.185,7,No Discount,60.74,0.25,September,3,Tuesday,2015,No
First Class,Consumer,Philadelphia,Pennsylvania,19143,East,Office Supplies,Binders,538.194,2,0.7,-412.6154,2,41-100%,161.4582,-0.766666667,September,3,Saturday,2017,No
Second Class,Home Office,Seattle,Washington,98105,West,Furniture,Chairs,2003.92,5,0.2,125.245,4,11-20%,1603.136,0.0625,December,4,Tuesday,2015,No
Second Class,Consumer,Springfield,Missouri,65807,Central,Office Supplies,Binders,13.71,3,0.0,6.5808,5,No Discount,13.71,0.48,September,3,Sunday,2017,No
Standard Class,Corporate,Charlotte,North Carolina,28205,South,Office Supplies,Paper,78.304,2,0.2,29.364,4,11-20%,62.6432,0.375,August,3,Friday,2014,No
Standard Class,Consumer,New York City,New York,10011,East,Technology,Phones,179.7,6,0.0,88.053,6,No Discount,179.7,0.49,May,2,Tuesday,2016,No
Standard Class,Consumer,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016,5,No Discount,51.84,0.49,July,3,Sunday,2016,No
Standard Class,Consumer,San Diego,California,92024,West,Technology,Phones,38.24,4,0.2,-9.56,5,11-20%,30.592,-0.25,June,2,Friday,2016,No
Standard Class,Consumer,Santa Ana,California,92704,West,Office Supplies,Storage,421.1,2,0.0,105.275,4,No Discount,421.1,0.25,September,3,Monday,2017,Yes
Second Class,Corporate,Little Rock,Arkansas,72209,South,Office Supplies,Paper,44.96,2,0.0,20.6816,5,No Discount,44.96,0.46,December,4,Saturday,2017,No
Standard Class,Corporate,Rochester,New York,14609,East,Furniture,Furnishings,69.08,11,0.0,29.0136,6,No Discount,69.08,0.42,October,4,Monday,2017,No
Second Class,Consumer,Rockville,Maryland,20852,East,Office Supplies,Paper,19.44,3,0.0,9.3312,3,No Discount,19.44,0.48,October,4,Friday,2015,No
Standard Class,Consumer,Columbus,Indiana,47201,Central,Office Supplies,Paper,96.08,2,0.0,46.1184,4,No Discount,96.08,0.48,November,4,Friday,2015,No
Standard Class,Corporate,New York City,New York,10009,East,Office Supplies,Art,59.52,3,0.0,15.4752,5,No Discount,59.52,0.26,January,1,Monday,2015,No
Standard Class,Consumer,San Francisco,California,94110,West,Office Supplies,Paper,55.98,1,0.0,27.4302,4,No Discount,55.98,0.49,December,4,Friday,2017,No
Second Class,Corporate,Philadelphia,Pennsylvania,19143,East,Technology,Phones,728.946,9,0.4,-157.9383,2,31-40%,437.3676,-0.216666667,September,3,Sunday,2016,No
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Storage,22.58,2,0.0,5.8708,4,No Discount,22.58,0.26,May,2,Sunday,2017,No
Standard Class,Corporate,Lafayette,Indiana,47905,Central,Office Supplies,Binders,735.98,2,0.0,331.191,7,No Discount,735.98,0.45,October,4,Sunday,2016,No
Standard Class,Consumer,Columbus,Ohio,43229,East,Technology,Phones,220.752,8,0.4,-40.4712,4,31-40%,132.4512,-0.183333333,November,4,Sunday,2017,No
Standard Class,Corporate,Fort Worth,Texas,76106,Central,Office Supplies,Binders,7.98,5,0.8,-13.167,6,41-100%,1.596,-1.65,November,4,Saturday,2015,No
Standard Class,Consumer,Visalia,California,93277,West,Office Supplies,Art,14.88,2,0.0,3.72,7,No Discount,14.88,0.25,September,3,Thursday,2016,No
Standard Class,Consumer,Arlington,Virginia,22204,South,Office Supplies,Storage,544.38,3,0.0,157.8702,4,No Discount,544.38,0.29,December,4,Sunday,2017,No
Standard Class,Corporate,Seattle,Washington,98103,West,Office Supplies,Paper,37.94,2,0.0,18.2112,7,No Discount,37.94,0.48,December,4,Friday,2016,No
Standard Class,Corporate,Highland Park,Illinois,60035,Central,Office Supplies,Paper,37.464,7,0.2,12.1758,4,11-20%,29.9712,0.325,June,2,Monday,2016,No
First Class,Corporate,Houston,Texas,77041,Central,Technology,Accessories,151.2,3,0.2,32.13,3,11-20%,120.96,0.2125,September,3,Monday,2015,No
Standard Class,Consumer,Arlington Heights,Illinois,60004,Central,Office Supplies,Art,14.112,6,0.2,1.2348,4,11-20%,11.2896,0.0875,November,4,Friday,2016,No
Standard Class,Consumer,Tampa,Florida,33614,South,Office Supplies,Binders,7.218,3,0.7,-5.5338,4,41-100%,2.1654,-0.766666667,March,1,Saturday,2014,No
Standard Class,Corporate,Chicago,Illinois,60623,Central,Office Supplies,Binders,44.848,8,0.8,-67.272,5,41-100%,8.9696,-1.5,April,2,Thursday,2016,No
Standard Class,Consumer,Franklin,Tennessee,37064,South,Office Supplies,Paper,5.184,1,0.2,1.8144,5,11-20%,4.1472,0.35,August,3,Sunday,2017,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Office Supplies,Storage,83.92,5,0.2,-13.637,7,11-20%,67.136,-0.1625,October,4,Monday,2014,No
Standard Class,Home Office,Concord,New Hampshire,3301,East,Office Supplies,Art,227.88,6,0.0,68.364,6,No Discount,227.88,0.3,August,3,Sunday,2017,No
Second Class,Home Office,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,1503.25,5,0.0,496.0725,5,No Discount,1503.25,0.33,June,2,Sunday,2014,No
First Class,Corporate,Plainfield,New Jersey,7060,East,Office Supplies,Art,9.21,3,0.0,2.3025,2,No Discount,9.21,0.25,January,1,Monday,2016,No
Standard Class,Consumer,Oklahoma City,Oklahoma,73120,Central,Technology,Phones,479.96,4,0.0,134.3888,6,No Discount,479.96,0.28,December,4,Wednesday,2014,No
Standard Class,Home Office,San Gabriel,California,91776,West,Office Supplies,Appliances,270.72,3,0.0,78.5088,5,No Discount,270.72,0.29,April,2,Friday,2014,No
First Class,Corporate,Columbus,Ohio,43229,East,Office Supplies,Fasteners,8.04,5,0.2,2.9145,2,11-20%,6.432,0.3625,May,2,Friday,2015,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16.056,3,0.2,5.8203,7,11-20%,12.8448,0.3625,July,3,Thursday,2017,No
First Class,Home Office,Los Angeles,California,90045,West,Furniture,Bookcases,514.165,5,0.15,-30.245,3,11-20%,437.04025,-0.058823529,June,2,Saturday,2017,No
Standard Class,Consumer,Austin,Texas,78745,Central,Office Supplies,Storage,152.688,2,0.2,-26.7204,4,11-20%,122.1504,-0.175,December,4,Thursday,2015,Yes
Standard Class,Consumer,New York City,New York,10009,East,Office Supplies,Binders,3.592,1,0.2,1.1225,4,11-20%,2.8736,0.3125,April,2,Friday,2016,No
Standard Class,Corporate,Norman,Oklahoma,73071,Central,Technology,Accessories,63.88,4,0.0,24.9132,4,No Discount,63.88,0.39,December,4,Tuesday,2016,No
